market_ticker,fair_yes_probability,fair_yes_probability_low,fair_yes_probability_high,confidence,thesis,source_note,updated_at,evidence_count,evidence_quality,source_type,last_evidence_at,contract_family,resolution_source_type,model_name,model_probability_raw,execution_probability_guarded,market_midpoint_probability,settlement_source_primary,settlement_source_fallback,settlement_station,settlement_timezone,local_day_boundary,observation_window_local_start,observation_window_local_end,observation_window_local_source,weather_station_history_status,weather_station_history_cache_hit,weather_station_history_cache_fallback_used,weather_station_history_cache_fresh,weather_station_history_cache_age_seconds,weather_station_history_sample_metric,weather_station_history_sample_years,weather_station_history_sample_years_total,weather_station_history_sample_years_precip,weather_station_history_sample_years_tmax,weather_station_history_sample_years_tmin,weather_station_history_sample_years_mean,weather_station_history_min_sample_years_required,weather_station_history_live_ready,weather_station_history_live_ready_reason,threshold_expression,rule_text_hash_sha256,high_trust_evidence_count,market_family,research_priority_score
KXDEREMEROUT-26-APR01,0.02,,,0.58,"As of March 28, 2026, Chavez-DeRemer still appears to be actively serving as Labor Secretary, with official Labor Department statements on March 6 and March 11 and no public sign of an imminent exit before April 1. Ongoing scandal reporting keeps the risk above zero, but the near-term leave-office probability still looks low.","DOL Mar. 6, 2026 jobs report statement; DOL Mar. 11, 2026 listening-tour release; White House cabinet page listing her as Secretary of Labor; CBS Feb. 20, 2026 no-charge report; Washington Post Feb. 24, 2026 report that White House support continued while inquiry remained ongoing.",2026-03-28T00:18:00-04:00,,,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXLUTNICKOUT-26APR01,0.01,,,0.56,"As of March 28, 2026, Lutnick still appears to be actively serving as Commerce Secretary, with Commerce leadership pages listing him in office and official Commerce materials continuing to frame policy actions under his leadership. The Epstein-related controversy creates real but mostly reputational pressure, yet with only a few days left until April 1 and continued public backing from Trump, an exit before the deadline still looks unlikely.","Commerce leadership page listing Howard Lutnick as Secretary of Commerce; Commerce Jan. 2026 First Year Accomplishments under Secretary Howard W. Lutnick release; White House cabinet page; Axios Mar. 3, 2026 report that Lutnick agreed to testify and that White House support continued; AP Feb. 10, 2026 report on revised Epstein-ties testimony.",2026-03-28T00:24:00-04:00,,,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXIPOSPACEX-26APR01,0.008,,,0.46,"As of March 28, 2026, the evidence still points to a later-2026 SpaceX listing rather than a public IPO announcement before April 1. Reuters reported on January 29 that merger talks with xAI were happening ahead of a planned offering later this year, Reuters reported on January 30 that the company was targeting a giant IPO near late June, and AP described the xAI combination on February 2 as coming before an expected IPO later this year. That keeps some optionality alive, but an official IPO announcement within the next few days still looks lower than the current penny ask.","Reuters Jan. 29, 2026 SpaceX-xAI merger talks ahead of planned later-2026 IPO; Reuters Jan. 30, 2026 profit report saying IPO planned near June 28; AP Feb. 2, 2026 article on xAI combination before expected later-2026 IPO.",2026-03-28T01:36:20-04:00,,,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXIPOSTARLINK-26APR01,0.001,,,0.44,"As of March 28, 2026, Starlink still looks more like a major business line inside SpaceX than a standalone near-term IPO candidate. Reuters reported in June 2025 that Musk had said Starlink would go public but gave no timeline, and current 2026 reporting frames Starlink as a core part of the combined SpaceX story heading toward a later-2026 SpaceX IPO. With only days until April 1 and no standalone Starlink IPO announcement, the near-term yes probability looks well under 1%.","Reuters June 3, 2025 article noting Musk said Starlink would go public without a timeline; Reuters Jan. 30, 2026 report that Starlink is the main revenue driver inside SpaceX; AP Feb. 2, 2026 article describing Starlink as part of the combined SpaceX business ahead of an expected later-2026 IPO.",2026-03-28T01:36:20-04:00,,,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXIPOOPENAI-26APR01,0.002,,,0.61,"As of March 28, 2026, OpenAI is still leaning on private capital and its foundation-controlled public-benefit structure, not a near-term public listing. OpenAI announced a $110 billion private investment program on February 27, 2026, and its public materials continue to emphasize the OpenAI Foundation and recapitalized governance rather than any IPO timetable. Reuters reported in October 2025 that groundwork was being laid for a possible IPO as soon as the second half of 2026, which is materially later than April 1. That makes an official IPO announcement in the next few days extremely unlikely.","OpenAI Feb. 27, 2026 Scaling AI for everyone announcement; OpenAI Our structure page describing the Oct. 28, 2025 foundation/PBC recapitalization; Reuters Oct. 7, 2025 report that OpenAI was laying groundwork for a possible second-half-2026 IPO.",2026-03-28T01:36:20-04:00,,,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXSTRIPEIPO-26APR01,0.001,,,0.62,"As of March 28, 2026, Stripe is still using private-market liquidity instead of preparing the public market for an immediate listing. Stripe announced a February 24, 2026 tender offer at a $159 billion valuation, and John Collison said on January 20, 2026 that the company was still not in any rush to go public. With only days until April 1 and no official IPO announcement, the near-term yes probability looks de minimis.","Stripe Feb. 24, 2026 annual letter and tender-offer announcement; PYMNTS Jan. 20, 2026 summary of Bloomberg interview with John Collison saying Stripe had no immediate plans to go public.",2026-03-28T01:36:20-04:00,,,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXTVSEASONRELEASETHELASTOFUS-26-APR,0.001,,,0.67,"As of March 28, 2026, an April 2026 release window for The Last of Us Season 3 looks effectively out of reach. HBO renewed the series for a third season ahead of season two's April 13 debut, and current reporting says season three production only began in March 2026 with premiere expectations pushed into 2027. That makes the current penny yes price too high for the April 2026 bucket.","Warner Bros. Discovery Apr. 9, 2025 renewal announcement ahead of season two's Apr. 13 debut; Warner Bros. Discovery Feb. 19, 2025 release-date announcement for season two; GamesRadar Mar. 23, 2026 cast update reporting season three is expected in 2027 after production began in March 2026.",2026-03-28T01:36:20-04:00,,,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXCOMPANYACTIONMERGER-27-26APR01,0.004,,,0.42,"As of March 28, 2026, the disclosed Musk-company consolidation path is Tesla investing in xAI and SpaceX acquiring xAI, not a direct Tesla-SpaceX merger agreement. Tesla's January 28, 2026 shareholder materials described only a $2 billion xAI preferred-stock investment and an AI collaboration framework, while xAI announced on February 2, 2026 that it was joining SpaceX. That leaves some possibility of further restructuring, but with only days until April 1 and no public definitive Tesla-SpaceX agreement, the near-term yes probability still looks below 1%.","Tesla Jan. 28, 2026 Q4 and FY 2025 update describing a $2 billion xAI investment plus framework agreement; xAI Feb. 2, 2026 official announcement that xAI joins SpaceX; AP Feb. 2, 2026 report that the announced combination was SpaceX and xAI ahead of an expected later-2026 IPO.",2026-03-28T01:36:20-04:00,,,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXGREENTERRITORY-29-26APR,0.002,,,0.53,"As of March 28, 2026, Greenland remains a geopolitical pressure story, not a credible near-term acquisition story. Trump continued threatening tariffs and control in January, but Reuters reported on January 12 that he described any acquisition as not a short-term deal, and Greenland's leaders publicly rejected U.S. control while Denmark warned that any forced takeover would rupture NATO. With only a few days left until April 1, the odds of the United States acquiring any part of Greenland still look far below the current penny ask.","Reuters Jan. 12, 2026 report that Trump said a Greenland acquisition would not be a short-term deal; AP Jan. 5, 2026 report that Denmark warned a U.S. takeover would mark the end of NATO; AP Jan. 10, 2026 report that Greenland's party leaders rejected U.S. control; AP Jan. 16, 2026 report that Trump threatened tariffs over Greenland while talks continued.",2026-03-28T01:36:20-04:00,,,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXBONDIOUT-26APR01,0.03,,,0.57,"As of March 28, 2026, Bondi still appears to be actively exercising the attorney general role, with Justice Department actions and appearances continuing through mid-March. Congressional scrutiny around Epstein-file handling and ethics policy is real, but with official DOJ releases still running under her name in February and March and only days left until April 1, an exit before the deadline still looks unlikely.","DOJ Feb. 18, 2026 animal-welfare enforcement announcement under Attorney General Bondi; DOJ Mar. 8, 2026 appearance in Georgia; DOJ Mar. 12, 2026 California EV lawsuit announcement under Attorney General Pamela Bondi; Washington Post Mar. 4, 2026 report on House Oversight subpoena tied to Epstein-file handling; CBS Mar. 4, 2026 report on Bondi rescinding a DOJ partisan-events ban.",2026-03-28T01:36:20-04:00,,,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXIPODISCORD-26APR01,0.006,,,0.5,"As of March 28, 2026, Discord still looks like a company scaling a private platform business rather than preparing to publicly announce an IPO in the next few days. Discord's April 23, 2025 CEO transition highlighted 200 million-plus monthly active users, positive adjusted EBITDA, and a push into ads, micro-transactions, and developer infrastructure, while the company's February 24, 2026 age-assurance update delayed a major global rollout into the second half of 2026. With no official IPO announcement and only a few days left until April 1, the near-term yes probability looks below the current penny ask.","Discord Apr. 23, 2025 CEO announcement highlighting 200M+ MAUs, revenue growth, and positive adjusted EBITDA; Discord Feb. 24, 2026 age-assurance update delaying global rollout to the second half of 2026; AP Feb. 25, 2026 report on the same age-verification delay and 200M user base.",2026-03-28T01:50:00-04:00,,,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXIPOANDURIL-26APR01,0.003,,,0.59,"As of March 28, 2026, Anduril still looks deep in the private-capital phase, not on the verge of an official IPO announcement before April 1. Reuters reported on June 5, 2025 that Anduril raised $2.5 billion at a $30.5 billion valuation, and Axios reported on March 4, 2026 that it was raising another private round around $4 billion at a $60 billion valuation. At the same time, the company continues announcing large defense contracts and industrial expansion rather than public-listing plans. With only days left until April 1, the near-term yes probability looks materially below the current penny ask.","Reuters June 5, 2025 report on Anduril's $2.5 billion private round at a $30.5 billion valuation; Axios Mar. 4, 2026 report that Anduril was raising another private round at roughly a $60 billion valuation; Anduril official contract/news pages in 2025-2026 showing ongoing defense expansion.",2026-03-28T01:50:00-04:00,,,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXMEDIARELEASESPIDERMAN-APR26,0.004,,,0.55,"As of March 28, 2026, Sony's own materials place Spider-Man: Beyond the Spider-Verse on a June 18, 2027 release path, and current Spider-Man marketing attention is focused on Spider-Man: Brand New Day, whose first trailer arrived on March 18, 2026. That does not make a Beyond the Spider-Verse trailer before April 1 impossible, but with the film still more than a year away and no official trailer push underway, the near-term yes probability looks materially below the current $0.02 ask.","Sony FY25.3Q supplemental information published February 2026 listing Spider-Man: Beyond the Spider-Verse for June 18, 2027; Sony strategy presentation published March 26, 2026 describing the final Spider-Verse film as a 2027 release; March 2026 reporting that the first Spider-Man: Brand New Day trailer launched on March 18, 2026.",2026-03-28T01:58:00-04:00,,,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXFREDDIE-26APR01,0.004,,,0.6,"As of March 28, 2026, Freddie Mac is still operating under FHFA conservatorship, and the official release path still requires Treasury consent plus a public input process before conservatorship can end. At the same time, Freddie Mac's own March 2026 materials are still focused on routine mortgage-market and capital-markets operations, not a near-term IPO announcement. That leaves some residual optionality because policymakers continue discussing eventual release, but an official IPO announcement before April 1 still looks materially below the current penny ask.","FHFA Conservatorship page stating Fannie Mae and Freddie Mac continue to operate under conservatorship; Treasury Jan. 2, 2025 PSPA amendment requiring Treasury consent and public input before release from conservatorship; FHFA 2024 Annual Report to Congress published March 2026 noting Freddie Mac remained below post-conservatorship capital requirements at year-end 2024; Freddie Mac March 2026 Clarity updates page showing routine capital-markets operations.",2026-03-28T02:03:00-04:00,,,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXIPOFANNIE-26APR01,0.004,,,0.6,"As of March 28, 2026, Fannie Mae is still operating under FHFA conservatorship, and the official release process still requires Treasury consent and a public request for input before conservatorship can be terminated. Fannie Mae's own March 2026 materials remain focused on Selling Guide and servicing updates rather than any public-offering timetable. With only days left until April 1, the odds of an official IPO announcement still look materially below the current penny ask.","FHFA Conservatorship page stating Fannie Mae and Freddie Mac continue to operate under conservatorship; Treasury Jan. 2, 2025 PSPA amendment requiring Treasury consent and public input before release from conservatorship; FHFA 2024 Annual Report to Congress published March 2026 noting Fannie Mae remained below post-conservatorship capital requirements at year-end 2024; Fannie Mae Announcement SEL-2026-02 published March 4, 2026 showing routine operating updates.",2026-03-28T02:03:00-04:00,,,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXIPOOURA-26APR01,0.003,,,0.63,"As of March 28, 2026, Oura still looks committed to the private-company path rather than preparing a public IPO announcement in the next few days. Bloomberg Law reported on January 23, 2026 that Oura was working on a tender offer for existing investors specifically to stay private longer, while Oura's own February and March 2026 announcements emphasized its $11 billion private-company scale, Olympic partnership, and continued acquisition-led expansion. With only days until April 1 and no public IPO signal, the near-term yes probability looks materially below the current penny ask.","Bloomberg Law Jan. 23, 2026 report that Oura was pursuing a tender offer to stay private longer after its $11 billion round; Oura Feb. 6, 2026 Team USA partnership post saying it was last valued at approximately $11 billion; Oura Mar. 5, 2026 Doublepoint acquisition post describing continued scale and growth.",2026-03-28T02:08:00-04:00,,,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXIPOOLIPOP-26APR01,0.004,,,0.56,"As of March 28, 2026, Olipop still looks like a fast-growing private consumer brand rather than a company about to publicly announce an IPO in the next few days. Bloomberg reported on February 12, 2025 that Olipop raised another $50 million at a $1.85 billion valuation and that management expected this to be its last funding round, but the company's own 2025 updates still centered on retailer expansion, B Corp certification, and operating scale rather than any public-listing process. With PepsiCo buying rival Poppi in March-May 2025, the category's strategic landscape also leaves room for acquisition or continued private growth. With only days left until April 1, the near-term yes probability still looks materially below the current penny ask.","Bloomberg Feb. 12, 2025 report that Olipop raised $50 million at a $1.85 billion valuation; PepsiCo Mar. 17 and May 19, 2025 announcements around the Poppi acquisition; Olipop 2025 company posts on B Corp certification and workplace growth rather than IPO preparation.",2026-03-28T02:12:00-04:00,,,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXIPOBEASTINDUSTRIES-26APR01,0.006,,,0.49,"As of March 28, 2026, Beast Industries still looks like a rapidly expanding private conglomerate rather than a company preparing to publicly announce an IPO in the next few days. The company announced its acquisition of Step on February 9, 2026 to expand into fintech, and BitMine disclosed a $200 million private investment in January 2026 that closed later that month. Those moves reinforce continued private financing and acquisition-led expansion, not an imminent public-listing announcement before April 1.","Step Feb. 9, 2026 press release announcing Beast Industries' acquisition of Step; BitMine Jan. 15, 2026 press release and subsequent January-March 2026 disclosures showing a $200 million stake in Beast Industries; Bloomberg and Fortune 2025-2026 reporting that Beast Industries was still being funded privately around a $5 billion valuation.",2026-03-28T02:15:00-04:00,,,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXNETANYAHUPARDON-26-APR01,0.05,,,0.47,"As of March 28, 2026, a Netanyahu pardon before April 1 is still unlikely, but it is no longer a pure fantasy scenario. Netanyahu formally requested a pardon in late 2025, Trump has repeatedly pressured President Herzog to grant it, and mid-March reporting said the Justice Ministry had already forwarded its opinion for presidential review. At the same time, there is no indication a decision is imminent, the process remains politically explosive, and the compressed time window leaves only a few days. On balance, the near-term yes probability looks above zero but still well below even-money.","AP Nov. 30, 2025 report that Netanyahu formally requested a pardon; AP and Axios February-March 2026 reporting on Trump's renewed pressure for an immediate pardon; March 11, 2026 reporting that the Justice Ministry opinion had been forwarded for presidential review.",2026-03-28T02:18:00-04:00,,,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXGABBARDOUT-26-APR01,0.015,0.001,0.095,0.2,Auto prior fallback anchored to market midpoint; evidence fetch failed.,No reliable external evidence met thresholds in this refresh cycle.,2026-03-29T13:19:58.945646+00:00,0,0.0,auto,,,rules_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,cabinet_exit,29.717353
KXECONSTATCPI-26MAY-T0.2,0.38,0.14346,0.61654,0.486,Auto prior supports the event based on 3 recent headlines across 2 sources.,"US Labor Department urged to prioritize November employment, CPI data post-shutdown - Reuters; US to publish CPI report for annual Social Security cost-of-living adjustment - Reuters; Social Security cost-of-living adjustment may be 2.5% in 2026, new estimates find - CNBC",2026-04-01T22:28:27.001065+00:00,3,0.85,auto,2025-11-12T08:00:00+00:00,,rules_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,general_event,35.0
KXECONSTATCPICORE-26MAY-T0.2,0.375,0.282758,0.467242,0.888705,Auto prior supports the event based on 8 recent headlines across 3 sources.,November's inflation report is the first to be released after the shutdown. Here's what to expect - CNBC; Bank of Japan's new trend gauge shows inflation exceeding target - Reuters; Inflation Had Steadied Before War With Iran - The New York Times,2026-04-01T22:28:27.001065+00:00,8,0.79375,auto,2026-03-26T06:29:05+00:00,,rules_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,general_event,35.0
KXECONSTATCPIYOY-26MAY-T3.3,0.2,0.001,0.42648,0.577456,Auto prior supports the event based on 5 recent headlines across 3 sources.,CPI PROPERTY GROUP publishes financial results for 2025 - tradingview.com; Eurozone Inflation: What to Expect from February’s CPI Data - global.morningstar.com; US to publish CPI report for annual Social Security cost-of-living adjustment - Reuters,2026-04-01T22:28:27.001065+00:00,5,0.73,auto,2026-03-31T18:21:13+00:00,,rules_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,general_event,35.0
KXECONSTATCORECPIYOY-26JUN-T2.9,0.235,0.142391,0.327609,0.88537,Auto prior leans against the event based on 8 recent headlines across 3 sources.,"Fed still leans in the direction of cuts, but timing will be delayed - ING THINK economic and financial analysis | ING THINK; Inflation in the UK: Economic indicators - The House of Commons Library; Layoff Tracker: Takeda Restructuring Will Affect Workforce, Could Include Layoffs - BioSpace",2026-03-30T00:33:21.998087+00:00,8,0.71875,auto,2026-03-26T07:00:00+00:00,,rules_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,general_event,35.0
