venue,league,market_type,timing,rule_key,rule_value,source_url,last_verified,status,notes
kalshi,mlb,moneyline,pregame,game_start_day_rule,If game starts within 48h of originally scheduled start resolve on official final result else last fair market price,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/MLBGAME.pdf,2026-03-27T20:40:00,confirmed,Imported from user research doc and mapped to full-game moneyline handling.
kalshi,mlb,moneyline,pregame,postponed_rule,Postponed game started within 48h remains open and resolves on official final result else last fair market price,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/MLBGAME.pdf,2026-03-27T20:40:00,confirmed,Use originally scheduled start time as the 48h anchor.
kalshi,mlb,moneyline,pregame,suspended_rule,Suspended or abandoned game resumed within 48h stays open else resolves at last fair market price,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/MLBGAME.pdf,2026-03-27T20:40:00,confirmed,Same 48h window applies to resumed games.
kalshi,mlb,moneyline,pregame,minimum_innings_rule,Use governing body official-game declaration with a winner rather than a hardcoded innings threshold,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/MLBGAME.pdf,2026-03-27T20:40:00,confirmed,Research import says early endings resolve on official result if the league declares the game official.
kalshi,mlb,moneyline,pregame,extra_innings_rule,Full-game markets include regulation plus extra innings unless contract text explicitly excludes them,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/MLBGAME.pdf,2026-03-27T20:40:00,confirmed,Applies to BASEBALLGAMEWIN full-game interpretation.
kalshi,mlb,moneyline,pregame,pitcher_change_rule,Current MLBGAME terms contain no explicit pitcher-change carveout so do not import sportsbook pitcher-action defaults,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/MLBGAME.pdf,2026-03-27T20:45:00,confirmed,Verified against the current official baseball contract terms which enumerate other contingencies but not pitcher changes.
kalshi,mlb,moneyline,pregame,prop_participation_rule,N/A for moneyline contract,https://docs.kalshi.com/,2026-03-27T00:00:00,confirmed,Use separate spec for props.
kalshi,mlb,moneyline,pregame,unequivocally_determined_rule,Use first official final result before expiration and fall back to last fair market price when outcome remains unresolved,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/MLBGAME.pdf,2026-03-27T20:40:00,confirmed,Covers called games and uncompleted periods described in contract terms.
opticodds,mlb,moneyline,pregame,game_start_day_rule,Data vendor only no grading rule,https://developer.opticodds.com/docs/odds-api-getting-started-guide,2026-03-27T00:00:00,confirmed,Settlement does not originate from OpticOdds.
opticodds,mlb,moneyline,pregame,postponed_rule,Data vendor only no grading rule,https://developer.opticodds.com/docs/odds-api-getting-started-guide,2026-03-27T00:00:00,confirmed,Capture status fields only.
opticodds,mlb,moneyline,pregame,suspended_rule,Data vendor only no grading rule,https://developer.opticodds.com/docs/odds-api-getting-started-guide,2026-03-27T00:00:00,confirmed,Track market suspension events.
opticodds,mlb,moneyline,pregame,minimum_innings_rule,Data vendor only no grading rule,https://developer.opticodds.com/docs/odds-api-getting-started-guide,2026-03-27T00:00:00,confirmed,Applicable at venue layer.
opticodds,mlb,moneyline,pregame,extra_innings_rule,Data vendor only no grading rule,https://developer.opticodds.com/docs/odds-api-getting-started-guide,2026-03-27T00:00:00,confirmed,Applicable at venue layer.
opticodds,mlb,moneyline,pregame,pitcher_change_rule,Data vendor only no grading rule,https://developer.opticodds.com/docs/odds-api-getting-started-guide,2026-03-27T00:00:00,confirmed,Applicable at venue layer.
opticodds,mlb,moneyline,pregame,prop_participation_rule,Data vendor only no grading rule,https://developer.opticodds.com/docs/odds-api-getting-started-guide,2026-03-27T00:00:00,confirmed,Applicable at venue layer.
opticodds,mlb,moneyline,pregame,unequivocally_determined_rule,Data vendor only no grading rule,https://developer.opticodds.com/docs/odds-api-getting-started-guide,2026-03-27T00:00:00,confirmed,Applicable at venue layer.
therundown,mlb,moneyline,pregame,game_start_day_rule,Data vendor only no grading rule,https://docs.therundown.io/,2026-03-27T00:00:00,confirmed,Settlement source is execution venue.
therundown,mlb,moneyline,pregame,postponed_rule,Data vendor only no grading rule,https://docs.therundown.io/,2026-03-27T00:00:00,confirmed,Use status feeds only.
therundown,mlb,moneyline,pregame,suspended_rule,Data vendor only no grading rule,https://docs.therundown.io/,2026-03-27T00:00:00,confirmed,Use status feeds only.
therundown,mlb,moneyline,pregame,minimum_innings_rule,Data vendor only no grading rule,https://docs.therundown.io/,2026-03-27T00:00:00,confirmed,Venue-level settlement rule.
therundown,mlb,moneyline,pregame,extra_innings_rule,Data vendor only no grading rule,https://docs.therundown.io/,2026-03-27T00:00:00,confirmed,Venue-level settlement rule.
therundown,mlb,moneyline,pregame,pitcher_change_rule,Data vendor only no grading rule,https://docs.therundown.io/,2026-03-27T00:00:00,confirmed,Venue-level settlement rule.
therundown,mlb,moneyline,pregame,prop_participation_rule,Data vendor only no grading rule,https://docs.therundown.io/,2026-03-27T00:00:00,confirmed,Venue-level settlement rule.
therundown,mlb,moneyline,pregame,unequivocally_determined_rule,Data vendor only no grading rule,https://docs.therundown.io/,2026-03-27T00:00:00,confirmed,Venue-level settlement rule.
