jurisdiction,venue,constraint_type,constraint,source_url,last_verified,status,notes
new_york,kalshi,jurisdiction_allowed,Kalshi signup/access is generally offered subject to the Member Agreement and current onboarding rules; New York sports-enforcement notices should not be treated as a blanket non-sports API eligibility statement,https://help.kalshi.com/account/signing-up/signing-up-as-an-individual,2026-03-30T12:00:00-04:00,in_progress,For non-sports automation keep New York legal review contract-specific; the cited NY actions expressly target sports wagering.
new_york,kalshi,tos_automation_allowed,Use official API only and do not scrape or bulk-copy website-presented Kalshi Data without separate written permission,https://kalshi-public-docs.s3.amazonaws.com/kalshi-data-terms-of-service.pdf,2026-03-27T20:40:00,in_progress,User research highlighted that website data terms are materially narrower than API automation.
new_york,kalshi,data_licensing_allowed,API execution workflow remains under developer agreement review while website-presented Kalshi Data has non-commercial no-scraping restrictions,https://kalshi-public-docs.s3.amazonaws.com/kalshi-data-terms-of-service.pdf,2026-03-27T20:40:00,in_progress,Archive the current Developer Agreement before any broader storage or redistribution.
new_york,kalshi,account_kyc_required,Identity verification remains a production gate; signup requires personal information and may require document verification,https://help.kalshi.com/en/articles/13823782-what-information-is-required-to-verify-my-kalshi-account,2026-03-30T12:00:00-04:00,confirmed,Treat KYC and contact verification as hard onboarding gates before live funding or trading.
new_york,kalshi,restricted_markets,New York enforcement materials expressly cover sports-event contracts; do not generalize that source into a blanket non-sports restriction without separate legal review,https://gaming.ny.gov/cease-and-desist-letter-kalshi,2026-03-30T12:00:00-04:00,in_progress,This automation is for non-sports assumptions so sports-only enforcement should remain scoped as such.
new_york,kalshi,deposits_withdrawals,US users can fund via debit ACH PayPal Venmo crypto and wire subject to account-region availability and method-specific rules,https://help.kalshi.com/transfer-funds/transfers-faq,2026-03-30T12:00:00-04:00,confirmed,Operational funding readiness is no longer just ACH plus wire.
new_york,opticodds,jurisdiction_allowed,Data API access not state-restricted by wagering law but contract terms apply,https://developer.opticodds.com/docs/odds-api-getting-started-guide,2026-03-27T00:00:00,in_progress,Verify with provider agreement.
new_york,opticodds,tos_automation_allowed,API-based automation expected within licensed plan,https://opticodds.com/terms-of-service,2026-03-27T00:00:00,in_progress,Confirm no prohibited redistribution.
new_york,opticodds,data_licensing_allowed,TODO confirm allowed storage horizon and derived data rights,https://opticodds.com/terms-of-service,2026-03-27T00:00:00,todo,Critical before long-term archiving.
new_york,opticodds,account_kyc_required,N/A data vendor account verification only,https://developer.opticodds.com/docs/odds-api-getting-started-guide,2026-03-27T00:00:00,confirmed,Not a wagering KYC gate.
new_york,opticodds,restricted_markets,TODO confirm any contractual sport/market exclusions in your plan,https://developer.opticodds.com/docs/odds-api-getting-started-guide,2026-03-27T00:00:00,todo,Plan-specific.
new_york,therundown,jurisdiction_allowed,Data API access not state-restricted by wagering law but contract terms apply,https://docs.therundown.io/,2026-03-27T00:00:00,in_progress,Verify contract terms for use case.
new_york,therundown,tos_automation_allowed,API-based automation expected under plan terms,https://docs.therundown.io/,2026-03-27T00:00:00,in_progress,Confirm no prohibited redistribution.
new_york,therundown,data_licensing_allowed,Licensed API use appears aligned with provider-first automation but storage and redistribution rights still need agreement review,https://docs.therundown.io/,2026-03-27T20:40:00,in_progress,User research supports provider use over scraping but does not fully settle archival rights.
new_york,therundown,account_kyc_required,N/A data vendor account verification only,https://docs.therundown.io/,2026-03-27T00:00:00,confirmed,Not a wagering KYC gate.
new_york,therundown,restricted_markets,Free tier operationally constrains v1 to delayed pregame narrow-filter ingestion while explicit plan entitlements still need confirmation,https://docs.therundown.io/rate-limits,2026-03-27T20:40:00,in_progress,Research import recommends moneyline-first and a small affiliate list under free-tier limits.
new_jersey,kalshi,jurisdiction_allowed,Kalshi signup/access is generally offered subject to the Member Agreement and current onboarding rules; the New Jersey emergency order is explicit about sports wagering and should not be treated as a blanket non-sports API eligibility statement,https://help.kalshi.com/account/signing-up/signing-up-as-an-individual,2026-03-30T12:00:00-04:00,in_progress,For non-sports automation keep New Jersey legal review contract-specific; the cited DGE action expressly addresses sports wagers.
new_jersey,kalshi,tos_automation_allowed,Use official API only and do not scrape or bulk-copy website-presented Kalshi Data without separate written permission,https://kalshi-public-docs.s3.amazonaws.com/kalshi-data-terms-of-service.pdf,2026-03-27T21:05:00,in_progress,Same API-versus-website data restriction profile applies here as in New York.
new_jersey,kalshi,data_licensing_allowed,API execution workflow remains under developer agreement review while website-presented Kalshi Data has non-commercial no-scraping restrictions,https://kalshi-public-docs.s3.amazonaws.com/kalshi-data-terms-of-service.pdf,2026-03-27T21:05:00,in_progress,Archive the current Developer Agreement before any broader storage or redistribution.
new_jersey,kalshi,account_kyc_required,Identity verification remains a production gate; signup requires personal information and may require document verification,https://help.kalshi.com/en/articles/13823782-what-information-is-required-to-verify-my-kalshi-account,2026-03-30T12:00:00-04:00,confirmed,Treat KYC and contact verification as hard onboarding gates before live funding or trading.
