venue,dimension,value,source_url,last_verified,status,notes
kalshi,read_rate_limit,Observed basic tier read_limit=20 req/s via authenticated /trade-api/v2/account/limits,https://docs.kalshi.com/api-reference/account/get-account-api-limits,2026-03-27T20:40:00,confirmed,Measured on the live key during research import.
kalshi,write_rate_limit,Observed basic tier write_limit=10 req/s via authenticated /trade-api/v2/account/limits,https://docs.kalshi.com/api-reference/account/get-account-api-limits,2026-03-27T20:40:00,confirmed,Measured on the live key during research import.
kalshi,min_order_size,Create Order requires count or count_fp with whole-contract quantity and required range x>=1,https://docs.kalshi.com/api-reference/orders/create-order,2026-03-27T20:45:00,confirmed,Operational minimum is 1 contract though dollar risk still depends on side and price.
kalshi,max_order_size,Position accountability level is $25000 per strike per member and exact per-order cap still needs integration test,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/MLBGAME.pdf,2026-03-27T20:40:00,in_progress,Research import captured the venue-level cap but not final order-reject thresholds.
kalshi,price_bounds,1 to 99 cents documented,https://docs.kalshi.com/getting_started/quick_start_create_order,2026-03-27T00:00:00,confirmed,Enforce pre-trade.
kalshi,reject_reasons,429 is documented and should honor Retry-After when present then exponential backoff with jitter while other rejects still need integration tests,https://docs.kalshi.com/getting_started/quick_start_create_order,2026-03-27T20:40:00,in_progress,User research also called out IOC/FOK and pause-path testing as remaining work.
kalshi,maintenance_window,Thursday 03:00-05:00 ET scheduled maintenance,https://docs.kalshi.com/fix/session-management,2026-03-27T00:00:00,confirmed,Block trading during window.
kalshi,exchange_pause_behavior,Use cancel_order_on_pause for resting orders and halt new risk because outages can block cancel or modify attempts,https://docs.kalshi.com/api-reference/orders/create-order,2026-03-27T20:40:00,in_progress,Research import ties pause handling to explicit outage contingency rules.
kalshi,idempotency_key,Use client_order_id for deduplication,https://docs.kalshi.com/getting_started/quick_start_create_order,2026-03-27T00:00:00,confirmed,Mandatory in automation.
kalshi,api_auth_method,Signed REST requests use access key plus signature plus timestamp headers and were validated live on this account,https://docs.kalshi.com/,2026-03-27T20:40:00,confirmed,Project live smoke and live snapshot commands now authenticate successfully.
opticodds,read_rate_limit,TODO confirm plan-specific read quota,https://developer.opticodds.com/docs/odds-api-getting-started-guide,2026-03-27T00:00:00,todo,Use account dashboard value.
opticodds,write_rate_limit,N/A read-only odds ingestion,https://developer.opticodds.com/docs/odds-api-getting-started-guide,2026-03-27T00:00:00,confirmed,No order execution via OpticOdds.
opticodds,min_order_size,N/A data provider only,https://developer.opticodds.com/docs/odds-api-getting-started-guide,2026-03-27T00:00:00,confirmed,Execution handled by Kalshi.
opticodds,max_order_size,N/A data provider only,https://developer.opticodds.com/docs/odds-api-getting-started-guide,2026-03-27T00:00:00,confirmed,Execution handled by Kalshi.
opticodds,price_bounds,N/A data provider only,https://developer.opticodds.com/docs/odds-api-getting-started-guide,2026-03-27T00:00:00,confirmed,Execution handled by Kalshi.
opticodds,reject_reasons,TODO map HTTP and SSE failure modes,https://developer.opticodds.com/docs/api-faq,2026-03-27T00:00:00,todo,Classify retryable vs fatal.
opticodds,maintenance_window,TODO confirm planned downtime policy,https://developer.opticodds.com/docs/api-faq,2026-03-27T00:00:00,todo,Include fallback snapshots.
opticodds,exchange_pause_behavior,N/A data provider only,https://developer.opticodds.com/docs/odds-api-getting-started-guide,2026-03-27T00:00:00,confirmed,Use ingest stale-data guardrails.
opticodds,idempotency_key,TODO define event ingestion idempotency key strategy,https://developer.opticodds.com/docs/data-ingestion,2026-03-27T00:00:00,todo,Likely odd_id plus timestamp.
opticodds,api_auth_method,TODO confirm production key rotation and scopes,https://developer.opticodds.com/docs/odds-api-getting-started-guide,2026-03-27T00:00:00,todo,Store in secrets manager.
therundown,read_rate_limit,Free tier documents 20000 datapoints/day with 1 req/s burst limit and 5-minute delay and no WebSocket access,https://docs.therundown.io/rate-limits,2026-03-27T20:40:00,confirmed,Treat v1 as delayed pregame-only ingestion with heavy filtering.
therundown,write_rate_limit,N/A read-only odds ingestion,https://docs.therundown.io/rate-limits,2026-03-27T00:00:00,confirmed,No order execution on TheRundown.
therundown,min_order_size,N/A data provider only,https://docs.therundown.io/,2026-03-27T00:00:00,confirmed,Execution handled by Kalshi.
therundown,max_order_size,N/A data provider only,https://docs.therundown.io/,2026-03-27T00:00:00,confirmed,Execution handled by Kalshi.
therundown,price_bounds,N/A data provider only,https://docs.therundown.io/,2026-03-27T00:00:00,confirmed,Execution handled by Kalshi.
therundown,reject_reasons,429 can mean burst daily cap or monthly cap and should branch on body plus Retry-After and billing headers,https://docs.therundown.io/rate-limits,2026-03-27T20:40:00,confirmed,User research included the free-tier 429 taxonomy and scheduler guidance.
therundown,maintenance_window,No fixed maintenance window is published; monitor therundown.instatus.com and auto-reconnect because deployments or idle timeouts can drop connections,https://docs.therundown.io/api-reference/v2/websocket,2026-03-27T20:45:00,confirmed,Status page exists and current docs explicitly instruct reconnection handling.
therundown,exchange_pause_behavior,N/A data provider only,https://docs.therundown.io/,2026-03-27T00:00:00,confirmed,Use stale-data no-trade gates.
therundown,idempotency_key,Use event_id plus market_id plus participant plus affiliate_id plus updated_at for delta ingest dedupe,https://docs.therundown.io/reference/markets-delta,2026-03-27T20:40:00,in_progress,Derived from live payload shape and the report's recommendation to prefer delta endpoints.
therundown,api_auth_method,Use X-TheRundown-Key header API key auth,https://docs.therundown.io/quickstart,2026-03-27T00:00:00,confirmed,Rotate via dashboard.
